Phrase,Total Gematria Value
כי מי אלוה מבלעדי יהוה ומי צור זולתי אלהינו,1211
האל המאזרני חיל ויתן תמים דרכי,1587
משוה רגלי כאילות ועל במתי יעמידני,1813
מלמד ידי למלחמה ונחתה קשת־נחושה זרועתי,2622
ותתן־לי מגן ישעך וימינך תסעדני וענותך תרבני,3333
תרחיב צעדי תחתי ולא מעדו קרסלי,2169
ארדוף אויבי ואשיגם ולא־אשוב  עד־כלותם,1596
אמחצם ולא־יכלו קום יפלו תחת רגלי,1605
ותאזרני חיל למלחמה תכריע קמי תחתי,2543
ואיבי נתתה לי ערף ומשנאי אצמיתם,2262
ישועו ואין־מושיע על־יהוה ולא ענם,1208
ואשחקם כעפר על־פני־רוח כטיט חוצות אריקם,2188
תפלטני מריבי עם תשימני לראש גוים עם לא־ידעתי יעבדוני,3138
לשמע אזן ישמעו לי בני־נכר יכחשו־לי,1680
בני־נכר יבלו ויחרגו ממסגרותיהם,1417
חי־יהוה וברוך צורי וירום אלוהי ישעי,1288
האל הנותן נקמות לי וידבר עמים תחתי,2383
מפלטי מאיבי אף מן־קמי תרוממני מאיש חמס תצילני,2348
על־כן ׀ אודך בגוים ׀ יהוה ולשמך אזמרה,937
מגדל כ מגדיל ק ישועות מלכו ועשה חסד ׀ למשיחו לדוד ולזרעו עד־עולם,2602
למנצח מזמור לדוד,555
השמים מספרים כבוד־אל ומעשה ידיו מגיד הרקיע,1781
יום ליום יביע אמר ולילה ללילה יחוה־דעת,1164
אין־אמר ואין דברים בלי נשמע קולם,1303
בכל־הארץ ׀ יצא קום ובקצה תבל מליהם לשמש שם־אהל בהם,2448
והוא כחתן יצא מחפתו ישיש כגבור לרוץ ארח,2517
מקצה השמים ׀ מוצאו ותקופתו על־קצותם ואין נסתר מחמתו ,3778
תורת יהוה תמימה משיבת נפש עדות יהוה נאמנה מחכימת פתי,4369
פקודי יהוה ישרים משמחי־לב מצות יהוה ברה מאירת עינים,2816
יראת יהוה ׀ טהורה עומדת לעד משפטי־יהוה אמת צדקו יחדו,2620
הנחמדים מזהב ומפז רב ומתוקים מדבש ונפת צופים,2256
גם־עבדך נזהר בהם בשמרם עקב רב,1404
שגיאות מי־יבין מנסתרות נקני,2208
גם מזדים ׀ חשך עבדך אל־ימשלו־בי אז איתם ונקיתי מפשע רב,2724
יהיו לרצון ׀ אמרי־פי והגיון לבי לפניך יהוה צורי וגאלי,1442
למנצח מזמור לדוד,555
יענך יהוה ביום צרה ישגבך שם ׀ אלהי יעקב,1432
ישלח־עזרך מקדש ומציון יסעדך,1455
יזכר כל־מנחתך ועולתך ידשנה סלה,1801
יתן־לך כלבבך וכל־עצתך ימלא,1301
נרננה ׀ בישועתך ובשם־אלהינו נדגל ימלא יהוה כל־משאלותיך,2664
עתה ידעתי כי הושיע ׀ יהוה משיחו יענהו משמי קדשו בגברות ישע ימינו,3830
אלה ברכב ואלה בסוסים ואנחנו ׀ בשם־יהוה אלהינו נזכיר,1358
המה כרעו ונפלו ואנחנו קמנו ונתעודד,1375
יהוה הושיעה המלך יעננו ביום־קראנו,1118
למנצח מזמור לדוד,555
יהוה בעזך ישמח־מלך ובישועתך  מה־יגיל  מאד,1530
תאות לבו נתתה לו וארשת פתיו בל־מנעת סלה,3826
כי־תקדמנו ברכות טוב תשית לראשו עטרת פז,3688
חיים ׀ שאל ממך נתתה לו ארך ימים עולם ועד,1937
גדול  כבודו בישועתך הוד והדר תשוה עליו,1946
כי־תשיתהו ברכות לעד תחדהו בשמחה את־פניך,3222
כי־המלך בטח ביהוה ובחסד עליון בל־ימוט,515
תמצא ידך לכל־איביך ימינך תמצא שנאיך,1730
תשיתמו ׀ כתנור אש לעת פניך יהוה באפו יבלעם ותאכלם אש,3858
פרימו מארץ תאבד וזרעם מבני אדם,1544
כי־נטו עליך רעה חשבו מזמה בל־יוכלו,1012
כי תשיתמו שכם במיתריך תכונן על־פניהם,3039
רומה יהוה בעזך נשירה ונזמרה  גבורתך,1880
למנצח על־אילת השחר מזמור לדוד,1609
אלי אלי למה עזבתני רחוק מישועתי דברי שאגתי,2776
א‍להי אקרא יומם ולא תענה ולילה ולא־דומיה לי,1229
ואתה קדוש יושב תהלות ישראל,2522
בך בטחו אבתינו בטחו ותפלטמו,1112
אליך זעקו ונמלטו בך בטחו ולא־בושו,783
ואנכי תולעת ולא־איש חרפת אדם ובזוי עם,2215
כל־ראי ילעגו לי יפטירו בשפה יניעו ראש,1769
גל אל־יהוה יפלטהו יצילהו כי חפץ בו,597
כי־אתה גחי מבטן מבטיחי על־שדי אמי,1102
עליך השלכתי מרחם מבטן אמי אלי אתה,1782
אל־תרחק ממני כי־צרה קרובה כי־אין עוזר,1891
סבבוני פרים רבים אבירי בשן כתרוני,1973
פצו עלי פיהם אריה טרף ושאג,1236
כמים נשפכתי והתפרדו כל־עצמותי היה לבי כדונג נמס בתוך מעי,3180
יבש כחרש ׀ כחי ולשוני  מדבק מלקוחי ולעפר־מות תשפתני,3692
כי סבבוני כלבים עדת מרעים הקיפוני כארי ידי ורגלי,1861
אספר כל־עצמותי המה יביטו יראו־בי,1323
יחלקו בגדי להם ועל־לבושי יפילו גורל,1077
ואתה יהוה אל־תרחק אילותי לעזרתי חושה,2670
הצילה מחרב נפשי מיד־כלב יחידתי,1378
הושיעני מפי אריה ומקרני רמים עניתני,2083
אספרה שמך לאחי בתוך קהל אהללך,1404
יראי יהוה ׀ הללוהו כל־זרע יעקב כבדוהו וגורו ממנו כל־זרע ישראל,2106
כי לא־בזה ולא שקץ ענות עני ולא־הסתיר פניו ממנו ובשועו אליו שמע,3099
מאתך  תהלתי בקהל רב נדרי אשלם נגד יראיו,2564
יאכלו ענוים ׀ וישבעו יהללו יהוה דרשיו יחי לבבכם לעד,1490
יזכרו ׀ וישבו אל־יהוה כל־אפסי־ארץ וישתחוו לפניך כל־משפחות גוים,2985
כי ליהוה המלוכה ומשל בגוים,629
אכלו וישתחוו  ׀ כל־דשני־ארץ לפניו יכרעו כל־יורדי עפר ונפשו לא חיה,3106
זרע יעבדנו יספר לאדני לדור,1104
יבאו ויגידו צדקתו לעם נולד כי עשה,1293
מזמור לדוד יהוה רעי לא אחסר,943
בנאות דשא ירביצני על־מי מנחות ינהלני,1945
נפשי ישובב ינחני במעגלי־צדק למען שמו,1773
גם כי־אלך בגיא צלמות לא־אירא רע כי־אתה עמדי שבטך ומשענתך המה ינחמני,3214
תערך לפני ׀ שלחן נגד צררי דשנת בשמן ראשי כוסי רויה,3779
אך ׀ טוב וחסד ירדפוני כל־ימי חיי ושבתי בבית־יהוה לארך ימים,2123
לדוד מזמור ליהוה  הארץ ומלואה תבל וישבי בה,1544
כי־הוא על־ימים יסדה ועל־נהרות יכוננה,1229
מי־יעלה בהר־יהוה ומי־יקום במקום קדשו,1208
נקי כפים ובר־לבב אשר ׀ לא־נשא לשוא נפשי ולא נשבע למרמה,2986
ישא ברכה מאת יהוה וצדקה מאלהי ישעו,1682
זה דור דרשו כ דרשיו ק מבקשי פניך יעקב סלה,2261
שאו שערים ׀ ראשיכם והנשאו פתחי עולם ויבוא מלך הכבוד,2662
מי זה מלך הכבוד יהוה עזוז וגבור יהוה גבור מלחמה,882
שאו שערים ׀ ראשיכם ושאו פתחי עולם ויבא מלך הכבוד,2601
מי הוא זה מלך הכבוד יהוה צבאות הוא מלך הכבוד סלה,960
לדוד אליך יהוה נפשי אשא,873
א‍להי בך בטחתי אל־אבושה אל־יעלצו איבי לי,1142
גם כל־קויך  לא יבשו יבשו הבוגדים ריקם,1316
דרכיך יהוה הודיעני ארחותיך  למדני,1214
הדריכני באמתך ׀ ולמדני כי־אתה אלהי ישעי אותך קויתי כל־היום,2838
זכר־רחמיך יהוה וחסדיך כי מעולם המה,905
חטאות נעורי ׀ ופשעי אל־תזכר כחסדך זכר־לי־אתה למען טובך יהוה,2922
טוב־וישר יהוה על־כן יורה חטאים בדרך,1244
ידרך ענוים במשפט וילמד ענוים דרכו,1337
כל־ארחות יהוה חסד ואמת לנצרי בריתו ועדתיו,2704
למען־שמך יהוה וסלחת לעוני כי רב־הוא,1490
מי־זה האיש ירא יהוה יורנו בדרך יבחר,1333
נפשו בטוב תלין וזרעו יירש ארץ,2045
סוד יהוה ליראיו ובריתו להודיעם,1142
עיני תמיד אל־יהוה כי הוא־יוציא מרשת רגלי,1993
פנה־אלי וחנני כי־יחיד ועני אני,559
צרות לבבי הרחיבו ממצוקותי הוציאני,1835
ראה עניי ועמלי ושא לכל־חטאותי,1323
ראה־אויבי כי־רבו ושנאת חמס שנאוני,1755
שמרה נפשי והצילני אל־אבוש כי־חסיתי בך,2066
תם־וישר יצרוני כי קויתיך,1898
פדה אלהים את־ישראל מכל צרותיו ,1919
לדוד ׀ שפטני יהוה כי־אני בתמי  הלכתי וביהוה בטחתי לא אמעד,2136
בחנני יהוה ונסני צרופה כ צרפה ק כליותי ולבי,1722
כי־חסדך לנגד עיני והתהלכתי באמתך,1688
לא־ישבתי עם־מתי־שוא ועם נעלמים לא אבוא,2017
נאתי קהל מרעים ועם־רשעים לא אשב,2026
ארחץ בנקיון כפי ואסבבה את־מזבחך יהוה,1207
לשמע בקול תודה ולספר כל־נפלאותיך,2016
יהוה אהבתי מעון ביתך ומקום משכן כבודך,1696
אל־תאסף עם־חטאים נפשי ועם־אנשי דמים חיי,1789
אשר־בידיהם זמה וימינם מלאה שחד,1168
ואני בתמי אלך פדני וחנני,838
רגלי עמדה במישור במקהלים אברך יהוה,1396
לדוד ׀ יהוה ׀ אורי וישעי ממי אירא יהוה מעוז־חיי ממי אפחד,1345
בקרב עלי ׀ מרעים לאכל את־בשרי צרי ואיבי לי המה כשלו ונפלו,2715
אם־תחנה עלי ׀ מחנה לא־יירא לבי אם־תקום עלי מלחמה בזאת אני בוטח,2327
אחת ׀ שאלתי מאת־יהוה אותה אבקש שבתי בבית־יהוה כל־ימי חיי לחזות בנעם־יהוה ולבקר בהיכלו,4772
כי יצפנני ׀ בסכה ביום רעה יסתרני בסתר אהלו בצור ירוממני,2828
ועתה ירום ראשי על איבי סביבותי ואזבחה באהלו זבחי תרועה אשירה ואזמרה ליהוה,3473
שמע־יהוה קולי אקרא וחנני וענני,1194
לך ׀ אמר לבי בקשו פני את־פניך יהוה אבקש,1871
אל־תסתר פניך ׀ ממני אל־תט־באף עבדך עזרתי היית אל־תטשני ואל־תעזבני אלהי ישעי,4934
כי־אבי ואמי עזבוני ויהוה יאספני,488
הורני יהוה דרכך ונחני בארח מישור למען שוררי,2338
אל־תתנני בנפש צרי כי  קמו־בי עדיש־קר ויפח חמס,2757
לולא  האמנתי לראות בטוב־יהוה בארץ חיים,1616
קוה אל־יהוה חזק ויאמץ לבך וקוה אל־יהוה,656
לדוד אליך יהוה ׀ אקרא צורי אל־תחרש ממני פן־תחשה ממני ונמשלתי עם־יורדי בור,4185
שמע קול תחנוני בשועי אליך בנשאי ידי אל־דביר קדשך,2577
אל־תמשכני עם־רשעים ועם־פעלי און דברי לום עם־רעיהם ורעה בלבבם,3028
תן־להם כפעלם וכרע מעלליהם כמעשה ידיהם תן להם השב גמולם להם,2816
כי לא יבינו אל־פעלת יהוה ואל־מעשה ידיו יהרסם ולא יבנם,1712
ברוך יהוה כיש־מע קול תחנוני,1354
יהוה ׀ עזי ומגני בו בטח לבי ונעזרתי ויעלז לבי ומשירי אהודנו,1837
יהוה עז־למו ומעוז ישועות משיחו הוא,1476
הושיעה ׀ את־עמך וברך את־נחלתך ורעם ונשאם עד־העולם,3002
מזמור לדוד הבו ליהוה בני אלים הבו ליהוה כבוד ועז,733
הבו ליהוה כבוד שמו השתחוו ליהוה בהדרת־קדש,2243
קול יהוה על־המים אל־הכבוד הרעים יהוה על־מים רבים,1218
קול־יהוה בכח קול יהוה בהדר,565
קול יהוה שבר ארזים וישבר יהוה את־ארזי הלבנון,2228
וירקידם כמו־עגל לבנון ושרין כמו בן־ראמים,1652
קול־יהוה חצב להבות אש,1006
קול יהוה יחיל מדבר יחיל יהוה מדבר קדש,1200
קול יהוה ׀ יחולל אילות ויחשף  יערות ובהיכלו כלו אמר כבוד,2191
יהוה למבול ישב וישב יהוה מלך לעולם,1056
יהוה עז לעמו יתן יהוה ׀ יברך את־עמו בשלום,1862
מזמור שיר־חנכת הבית לדוד,1742
ארוממך יהוה כי דליתני ולא־שמחת איבי לי,1715
יהוה אלהי שועתי אליך ותרפאני,1666
יהוה העלית מן־שאול נפשי חייתני מיורדי־ כ מירדי־בור,2658
זמרו ליהוה חסידיו והודו לזכר קדשו,1101
כי רגע ׀ באפו חיים ברצונו בערב ילין בכי ולבקר רנה,1813
ואני אמרתי בשלוי בל־אמוט לעולם,1330
יהוה ברצונך העמדתה להררי עז הסתרת פניך הייתי נבהל,3187
אליך יהוה אקרא ואל־אדני אתחנן,1000
מה־בצע בדמי ברדתי אל־שחת היודך עפר היגיד אמתך,2506
שמע־יהוה וחנני יהוה  ה‍יה־עזר לי,923
הפכת מספדי למחול לי פתחת שקי ותאזרני שמחה,3178
למען ׀ יזמרך כבוד ולא ידם יהוה אלהי לעולם אודך,869
למנצח מזמור לדוד,555
בך יהוה חסיתי אל־אבושה לעולם בצדקתך פלטני,1852
הטה אלי ׀ אזנך מהרה הצילני היה לי ׀ לצור־מעוז לבית מצודות להושיעני,2561
כי־סלעי ומצודתי אתה ולמען מך תנחני ותנהלני,2487
תוציאני מרשת זו טמנו לי כי־אתה מעוזי,2234
בידך אפקיד רוחי פדיתה אותי יהוה אל אמת,1869
שנאתי השמרים הבלי־שוא ואני אל־יהוה בטחתי,2263
אגילה ואשמחה בחסדך אשר ראית את־עניי ידעת בצרות נפשי,3778
ולא הסגרתני ביד־אויב העמדת במרחב רגלי,1814
חנני יהוה כי צר־לי עששה בכעס עיני נפשי ובטני,1988
כי כלו ביגון חיי ושנותי באנחה כשל בעוני כחי ועצמי עששו,2441
מכל־צררי הייתי חרפה ולשכני ׀ מאד ופחד למידעי ראי בחוץ נדדו ממני,2562
נשכחתי כמת מלב הייתי ככלי אבד,1842
כי שמעתי ׀ דבת רבים מגור מסביב בהוסדם יחד עלי לקחת נפשי זממו,3191
ואני ׀ עליך בטחתי יהוה אמרתי אלהי אתה,1755
בידך עתתי הצילני מיד־אויבי ומרדפי,1534
האירה פניך על־עבדך הושיעני בחסדך,1122
יהוה אל־אבושה כי קראתיך יבשו רשעים ידמו לשאול,2497
תאלמנה  שפתי שקר הדברות על־צדיק עתק בגאוה ובוז,3445
מה רב־טובך אשר־צפנת ליראיך פעלת לחסים בך נגד בני אדם ,2590
תסתירם ׀ בסתר פניך מרכסי איש תצפנם בסכה מריב לשנות,4358
ברוך יהוה כי הפליא חסדו לי בעיר מצור,1146
ואני ׀ אמרתי בחפזי נגרזתי מנגד עיניך אכן מעת קול תחנוני בשועי אליך,3442
אהבו את־יהוה כל־חסידיו אמונים נצר יהוה ומשלם על־יתר עשה גאוה,2618
חזקו ויאמץ לבבכם כל־המיחלים ליהוה,611
לדוד משכיל אשרי נשוי־פשע כסוי חטאה,1890
אשרי אדם לא יחשב יהוה לו עון ואין ברוחו רמיה ,1639
כי־החרשתי בלו עצמי בשאגתי כל־היום,2028
כי ׀ יומם ולילה תכבד עלי ידך נהפך לשדי בחרבני קיץ סלה,1843
חטאתי אודיעך ועוני לא־כסיתי אמרתי אודה עלי פשעי ליהוה ואתה נשאת עון חטאתי סלה,4317
על־זאת יתפלל כל־חסיד ׀ אליך לעת מצא רק לשטף מים רבים אליו לא יגיעו,3120
אתה ׀ סתר לי מצר תצרני רני פלט תסובבני סלה,3190
אשכילך ׀ ואורך בדרך־זו תלך איעצה עליך עיני,1749
אל־תהיו ׀ כסוס כפרד אין הבין במתג־ורסן עדיו לבלום בל קרב אליך,2384
רבים מכאובים לרשע והבוטח ביהוה חסד יסובבנו,1243
שמחו ביהוה וגילו צדיקים והרנינו כל־ישרי־לב,1620
רננו צדיקים ביהוה לישרים נאוה תהלה,1680
הודו ליהוה בכנור בנבל עשור זמרו־לו,1304
שירו־לו שיר חדש היטיבו נגן בתרועה,2202
כי־ישר דבר־יהוה וכל־מעשהו באמונה,1353
אהב צדקה ומשפט חסד יהוה מלאה הארץ,1112
בדבר יהוה שמים נעשו וברוח פיו כל־צבאם,1551
כנס כנד מי הים נתן באצרות תהומות,2365
ייראו מיהוה כל־הארץ ממנו יגורו כל־ישבי תבל,1804
כי הוא אמר ויהי הוא־צוה ויעמד,557
יהוה הפיר עצת־גוים הניא מחשבות עמים,1922
עצת יהוה לעולם תעמד מחשבות לבו לדר ודר,2514
אשרי הגוי אשר־יהוה אלהיו העם ׀ בחר לנחלה לו,1598
משמים הביט יהוה ראה את־כל־בני האדם,1251
ממכון־שבתו השגיח אל כל־ישבי הארץ,1889
היצר יחד לבם המבין אל־כל־מעשיהם,1052
אין־המלך נושע ברב־חיל גבור לא־ינצל ברב־כח,1488
שקר הסוס לתשועה וברב חילו לא ימלט,1926
הנה עין יהוה אל־יראיו למיחלים לחסדו,750
להציל ממות נפשם ולחיותם ברעב,1895
נפשנו חכתה ליהוה עזרנו ומגננו הוא,1475
כי־בו ישמח לבנו כי בשם קדשו בטחנו,1341
יהי־חסדך יהוה עלינו כאשר יחלנו לך,984
לדוד בשנותו את־טעמו לפני אבימלך ויגרשהו וילך,2203
אברכה את־יהוה בכל־עת תמיד תהלתו בפי,2564
ביהוה תתהלל נפשי ישמעו ענוים וישמחו,2305
גדלו ליהוה אתי ונרוממה שמו יחדו,1231
דרשתי את־יהוה וענני ומכל־מגורותי הצילני,2483
הביטו אליו ונהרו ופניהם אל־יחפרו,872
זה עני קרא ויהוה שמע ומכל־צרותיו הושיעו,2090
חנה מלאך־יהוה סביב ליראיו ויחלצם,695
טעמו וראו כי־טוב יהוה אשרי הגבר יחסה־בו,1223
יראו את־יהוה קדשיו כי־אין מחסור ליראיו,1726
כפירים רשו ורעבו ודרשי יהוה לא־יחסרו כל־טוב,2078
לכו־בנים שמעו־לי יראת יהוה אלמדכם,1386
מי־האיש החפץ חיים אהב ימים לראות טוב,1379
נצר לשונך מרע ושפתיך מדבר מרמה,2403
סור מרע ועשה־טוב בקש שלום ורדפהו,2053
עיני יהוה אל־צדיקים ואזניו אל־שועתם,1378
פני יהוה בעשי רע להכרית מארץ זכרם,2081
צעקו ויהוה שמע ומכל־צרותם הצילם,1715
קרוב יהוה לנשברי־לב ואת־דכאי־רוח יושיע,2010
רבות רעות צדיק ומכלם יצילנו יהוה,1846
שמר כל־עצמותיו אחת מהנה לא נשברה,2309
תמותת רשע רעה ושנאי צדיק יאשמו,3019
פודה יהוה נפש עבדיו ולא יאשמו כל־החסים בו,1218
לדוד ׀ ריבה יהוה את־יריבי לחם את־לחמי,1487
החזק מגן וצנה וקומה בעזרתי,1210
והרק חנית וסגר לקראת רדפי אמר לנפשי ישעתך אני,3645
יבשו ויכלמו מבקשי נפשי יסגו אחור ויחפרו חשבי רעתי,2926
יהיו כמץ לפני־רוח ומלאך יהוה דוחה,711
יהי־דרכם חשך וחלקלקות ומלאך יהוה רדפם,1744
כי־חנם טמנו־לי שחת רשתם חנם חפרו לנפשי,2783
תבואהו שואה לא־ידע ורשתו אשר־טמן תלכדו בשואה יפל־בה,3260
ונפשי תגיל ביהוה תשיש בישועתו,2721
כל עצמותי ׀ תאמרנה יהוה מי כמוך מציל עני מחזק ממנו ועני ואביון מגזלו,2412
יקומון עדי חמס אשר לא־ידעתי ישאלוני,1837
ישלמוני רעה תחת טובה שכול לנפשי,2377
ואני ׀ בחלותם לבושי שק עניתי בצום נפשי ותפלתי על־חיקי תשוב,4281
כרע־כאח לי התהלכתי כאבל־אם קדר שחותי,2351
ובצלעי שמחו ונאספו  נאספו עלי נכים ולא ידעתי קרעו ולא־דמו,2186
בחנפי לעגי מעוג חרק עלי שנימו,1206
אדני כמה תראה השיבה נפשי משאיהם מכפירים יחידתי,2736
אודך בקהל רב בעם עצום אהללך,774
אל־ישמחו־לי איבי שקר שנאי חנם יקרצו־עין,2053
כי לא שלום ידברו ועל רגעי־ארץ דברי מרמות יחשבון,2617
וירחיבו עלי פיהם אמרו האח ׀ האח ראתה עינינו,1564
ראיתה יהוה אל־תחרש אדני אל־תרחק ממני,2525
העירה והקיצה למשפטי אלהי ואדני לריבי,1344
שפטני כצדקך יהוה אלהי ואל־ישמחו־לי,1196
אל־יאמרו בלבם האח נפשנו אל־יאמרו בלענוהו,1319
יבשו ויחפרו ׀ יחדו שמחי רעתי ילבשו־בשת וכלמה המגדילים עלי,3097
ירנו וישמחו חפצי צדקי ויאמרו תמיד יגדל יהוה החפץ שלום עבדו,2459
ולשוני תהגה צדקך כל־היום תהלתך,1995
למנצח ׀ לעבד־יהוה לדוד,394
נאם־פשע לרשע בקרב לבי אין־פחד אלהים לנגד עיניו,1959
כי־החליק אליו בעיניו למצא עונו לשנא,1052
דברי־פיו און ומרמה חדל להשכיל להיטיב,1163
און ׀ יחשב על־משכבו יתיצב על־דרך לא־טוב רע לא ימאס,2141
יהוה בהשמים חסדך אמונתך עד־שחקים,1564
צדקתך  ׀ כהררי־אל משפטך תהום רבה אדם־ובהמה תושיע יהוה,3102
מה־יקר חסדך אלהים ובני אדם בצל כנפיך יחסיון,1092
ירוין מדשן ביתך ונחל עדניך תשקם,2190
כי־עמך מקור חיים באורך נראה־אור,1266
משך חסדך לידעיך וצדקתך לישרי־לב,1798
אל־תבואני רגל גאוה ויד־רשעים אל־תנדני,1933
שם נפלו פעלי און דחו ולא־יכלו קום,1020
לדוד ׀ אל־תתחר במרעים אל־תקנא בעשי עולה,2520
כי כחציר מהרה ימלו וכירק דשא יבולון,1439
בטח ביהוה ועשה־טוב שכן־ארץ ורעה אמונה,1489
והתענג על־יהוה ויתן־לך משאלת לבך,1999
גול על־יהוה דרכך ובטח עליו והוא יעשה,953
והוציא כאור צדקך ומשפטך כצהרים,1379
דום ׀ ליהוה והתחולל לו אל־תתחר במצליח דרכו באיש עשה מזמות,3257
הרף מאף ועזב חמה אל־תתחר אך־להרע,1909
כי־מרעים יכרתון וקוי יהוה המה יירשו־ארץ,2091
ועוד מעט ואין רשע והתבוננת על־מקומו ואיננו,2176
וענוים יירשו־ארץ והתענגו על־רב שלום,2217
זמם רשע לצדיק וחרק עליו שניו,1687
אדני ישחק־לו כי־ראה כי־יבא יומו,860
חרב ׀ פתחו רשעים ודרכו קשתם להפיל עני ואביון לטבוח ישרי־דרך,3559
חרבם תבוא בלבם וקשתותם תשברנה,2942
טוב־מעט לצדיק מהמון רשעים רבים,1383
כי זרועות רשעים תשברנה וסומך צדיקים יהוה,2708
יודע יהוה ימי תמימם ונחלתם לעולם תהיה,1836
לא־יבשו בעת רעה ובימי רעבון ישבעו,1880
כי רשעים ׀ יאבדו ואיבי יהוה כיקר כרים כלו בעשן כלו,1862
לוה רשע ולא ישלם וצדיק חונן ונותן,1864
כי מברכיו יירשו ארץ ומקלליו יכרתו,1983
מיהוה מצעדי־גבר כוננו ודרכו יחפץ,1041
כי־יפל לא־יוטל כי־יהוה סומך ידו,438
נער ׀ הייתי גם־זקנתי ולא־ראיתי צדיק נעזב וזרעו מבקש־לחם,3165
כל־היום חונן ומלוה וזרעו לברכה,858
סור מרע ועשה־טוב ושכן לעולם,1526
כי יהוה ׀ אהב משפט ולא־יעזב את־חסידיו לעולם נשמרו וזרע רשעים נכרת,3463
צדיקים יירשו־ארץ וישכנו לעד עליה,1682
פי־צדיק יהגה חכמה ולשונו תדבר משפט,1823
תורת אלהיו בלבו לא תמעד אשריו,2160
צופה רשע לצדיק ומבקש להמיתו ,1924
יהוה לא־יעזבנו בידו ולא ירשיענו בהשפטו,1309
קוה אל־יהוה ׀ ושמר דרכו וירוממך לרשת ארץ בהכרת רשעים תראה,4340
ראיתי רשע עריץ ומתערה כאזרח רענן,2888
ויעבר והנה איננו ואבקשהו ולא נמצא,1109
שמר־תם וראה ישר כי־אחרית לאיש שלום,3068
ופשעים נשמדו יחדו אחרית רשעים נכרתה,2848
ותשועת צדיקים מיהוה מעוזם בעת צרה,2432
ויעזרם יהוה ויפלטם יפלטם מרשעים ויושיעם כי־חסו בו,1917
מזמור לדוד להזכיר,609
יהוה אל־בקצפך תוכיחני ובחמתך תיסרני,2059
כי־חציך נחתו בי ותנחת עלי ידך,1642
אין־מתם בבשרי מפני זעמך אין־שלום בעצמי מפני חטאתי,2629
כי עונתי עברו ראשי כמשא כבד יכבדו ממני,1924
הבאישו נמקו חבורתי מפני אולתי,1773
נעויתי שחתי עד־מאד כל־היום קדר הלכתי,2263
כי־כסלי מלאו נקלה ואין מתם בבשרי,1473
נפוגותי ונדכיתי עד־מאד אגתי מנהמת לבי,2165
א‍דני נגדך כל־תאותי ואנחתי ממך לא־נסתרה,2330
לבי סחרחר עזבני כחי ואור־עיני גם־הם אין אתי,1608
אהבי ׀ ורעי מנגד נגעי יעמדו וקרובי מרחק עמדו,1456
וינקשו ׀ מבקשי נפשי ודרשי רעתי דברו הוות ומרמות כל־היום יהגו,4020
ואני כחרש לא אשמע וכאלם לא יפתח־פיו,1759
ואהי כאיש אשר לא־שמע ואין בפיו תוכחות,2300
כי־לך יהוה הוחלתי אתה תענה אדני אלהי,1607
כי־אמרתי פן־ישמחו־לי במוט רגלי עלי הגדילו,1683
כי־אני לצלע נכון ומכאובי נגדי תמיד,1043
כי־עוני אגיד אדאג מחטאתי,661
ואיבי חיים עצמו ורבו שנאי שקר,1478
ומשלמי רעה תחת טובה ישטנוני תחת רדופי־ כ רדפי־טוב,3405
אל־תעזבני יהוה אלהי אל־תרחק ממני,1521
חושה לעזרתי אדני תשועתי,2287
למנצח לידיתון כ לידותון ק מזמור לדוד,1691
אמרתי אשמרה דרכי מחטוא בלשוני אשמרה לפי מחסום בעד רשע לנגדי,3456
נאלמתי דומיה החשיתי מטוב וכאבי נעכר,1765
חם־לבי ׀ בקרבי בהגיגי תבער־אש דברתי בלשוני,2424
הודיעני יהוה ׀ קצי ומדת ימי מה־היא אדעה מה־חדל אני,1180
הנה טפחות ׀ נתתה ימי וחלדי כאין נגדך אך כל־הבל כל־אדם נצב סלה,2134
אך־בצלם ׀ יתהלך־איש אך־הבל יהמיון יצבר ולא־ידע מי־אספם,1792
ועתה מה־קויתי אדני תוחלתי לך היא,2037
מכל־פשעי הצילני חרפת נבל אל־תשימני,2356
נאלמתי לא אפתח־פי כי אתה עשית,2357
הסר מעלי נגעך מתגרת ידך אני כליתי,2166
בתוכחות על־עון ׀ יסרת איש ותמס כעש חמודו אך הבל כל־אדם סלה,3257
שמעה־תפלתי ׀ יהוה ושועתי ׀ האזינה אל־דמעתי אל־תחרש כי גר אנכי עמך תושב ככל־אבותי,5366
השע ממני ואבליגה בטרם אלך ואינני,1001
למנצח לדוד מזמור,555
קוה קויתי יהוה ויט אלי וישמע שועתי,1941
ויעלני ׀ מבור שאון מטיט היון ויקם על־סלע רגלי כונן אשרי,2216
ויתן בפי ׀ שיר חדש תהלה לאלהינו יראו רבים וייראו ויבטחו ביהוה,2723
אשרי הגבר אשר־שם יהוה מבטחו ולא־פנה אל־רהבים ושטי כזב,2467
רבות עשית ׀ אתה ׀ יהוה אלהי נפלאתיך ומחשבתיך אלינו אין ׀ ערך אליך אגידה ואדברה עצמו מספר,4579
זבח ומנחה ׀ לא־חפצת אזנים כרית לי עולה וחטאה לא שאלת,2415
אז אמרתי הנה־באתי במגלת־ספר כתוב עלי,2485
לעשות־רצונך אלהי חפצתי ותורתך  בתוך מעי,3386
בשרתי צדק ׀ בקהל רב הנה פתי לא אכלא יהוה אתה ידעת,2994
צדקתך לא־כסיתי ׀ בתוך לבי  אמונתך ותשועתך אמרתי לא־כחדתי חסדך ואמתך לקהל רב,5384
